TIGRFAM,ROLE_ID,SubRole,MainRole,Role
TIGR01093,70,Aromatic amino acid family,Amino acid biosynthesis,Amino acid biosynthesis::Aromatic amino acid family
TIGR01096,142,"Amino acids, peptides and amines",Transport and binding proteins,"Transport and binding proteins::Amino acids, peptides and amines"
TIGR01097,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR01098,143,Anions,Transport and binding proteins,Transport and binding proteins::Anions
TIGR01099,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01100,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01101,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01102,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR01102,187,Pathogenesis,Cellular processes,Cellular processes::Pathogenesis
TIGR01103,188,Chemotaxis and motility,Cellular processes,Cellular processes::Chemotaxis and motility
TIGR01104,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01105,263,Protein interactions,Regulatory functions,Regulatory functions::Protein interactions
TIGR01106,111,ATP-proton motive force interconversion,Energy metabolism,Energy metabolism::ATP-proton motive force interconversion
TIGR01107,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01108,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01108,184,Other,Energy metabolism,Energy metabolism::Other
TIGR01109,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01109,184,Other,Energy metabolism,Energy metabolism::Other
TIGR01110,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01110,184,Other,Energy metabolism,Energy metabolism::Other
TIGR01111,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01112,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01112,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR01113,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01113,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR01114,159,Methanogenesis,Energy metabolism,Energy metabolism::Methanogenesis
TIGR01115,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR01115,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR01116,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01117,111,ATP-proton motive force interconversion,Energy metabolism,Energy metabolism::ATP-proton motive force interconversion
TIGR01117,114,Fermentation,Energy metabolism,Energy metabolism::Fermentation
TIGR01117,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01118,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR01119,105,Biosynthesis and degradation of polysaccharides,Energy metabolism,Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR01120,117,Pentose phosphate pathway,Energy metabolism,Energy metabolism::Pentose phosphate pathway
TIGR01121,109,Amino acids and amines,Energy metabolism,Energy metabolism::Amino acids and amines
TIGR01122,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR01123,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR01124,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR01125,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01126,95,Protein folding and stabilization,Protein fate,Protein fate::Protein folding and stabilization
TIGR01127,74,Pyruvate family,Amino acid biosynthesis,Amino acid biosynthesis::Pyruvate family
TIGR01128,132,"DNA replication, recombination, and repair",DNA metabolism,"DNA metabolism::DNA replication, recombination, and repair"
TIGR01129,97,Protein and peptide secretion and trafficking,Protein fate,Protein fate::Protein and peptide secretion and trafficking
TIGR01131,111,ATP-proton motive force interconversion,Energy metabolism,Energy metabolism::ATP-proton motive force interconversion
TIGR01132,119,Sugars,Energy metabolism,Energy metabolism::Sugars
TIGR01133,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01134,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR01135,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01135,100,Amino sugars,Central intermediary metabolism,Central intermediary metabolism::Amino sugars
TIGR01136,75,Serine family,Amino acid biosynthesis,Amino acid biosynthesis::Serine family
TIGR01137,75,Serine family,Amino acid biosynthesis,Amino acid biosynthesis::Serine family
TIGR01138,75,Serine family,Amino acid biosynthesis,Amino acid biosynthesis::Serine family
TIGR01139,75,Serine family,Amino acid biosynthesis,Amino acid biosynthesis::Serine family
TIGR01140,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers","Biosynthesis of cofactors, prosthetic groups, and carriers::Heme, porphyrin, and cobalamin"
TIGR01141,161,Histidine family,Amino acid biosynthesis,Amino acid biosynthesis::Histidine family
TIGR01142,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR01143,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01144,111,ATP-proton motive force interconversion,Energy metabolism,Energy metabolism::ATP-proton motive force interconversion
TIGR01145,111,ATP-proton motive force interconversion,Energy metabolism,Energy metabolism::ATP-proton motive force interconversion
TIGR01146,111,ATP-proton motive force interconversion,Energy metabolism,Energy metabolism::ATP-proton motive force interconversion
TIGR01147,111,ATP-proton motive force interconversion,Energy metabolism,Energy metabolism::ATP-proton motive force interconversion
TIGR01148,184,Other,Energy metabolism,Energy metabolism::Other
TIGR01149,184,Other,Energy metabolism,Energy metabolism::Other
TIGR01150,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR01150,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR01151,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR01151,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR01152,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR01152,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR01153,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR01153,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR01156,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR01156,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR01157,112,Electron transport,Energy metabolism,Energy metabolism::Electron transport
TIGR01157,164,Photosynthesis,Energy metabolism,Energy metabolism::Photosynthesis
TIGR01158,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR01160,169,Translation factors,Protein synthesis,Protein synthesis::Translation factors
TIGR01161,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR01162,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Purine ribonucleotide biosynthesis"
TIGR01163,117,Pentose phosphate pathway,Energy metabolism,Energy metabolism::Pentose phosphate pathway
TIGR01164,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01165,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01166,145,Cations and iron carrying compounds,Transport and binding proteins,Transport and binding proteins::Cations and iron carrying compounds
TIGR01167,88,Other,Cell envelope,Cell envelope::Other
TIGR01169,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01170,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01171,158,Ribosomal proteins: synthesis and modification,Protein synthesis,Protein synthesis::Ribosomal proteins: synthesis and modification
TIGR01172,75,Serine family,Amino acid biosynthesis,Amino acid biosynthesis::Serine family
TIGR01173,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope,Cell envelope::Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01173,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01173,100,Amino sugars,Central intermediary metabolism,Central intermediary metabolism::Amino sugars
TIGR01174,93,Cell division,Cellular processes,Cellular processes::Cell division
TIGR01177,156,Conserved,Hypothetical proteins,Hypothetical proteins::Conserved
TIGR01178,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides","Purines, pyrimidines, nucleosides, and nucleotides::Salvage of nucleosides and nucleotides"
TIGR01179,119,Sugars,Energy metabolism,Energy metabolism::Sugars
TIGR01180,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01181,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope,Cell envelope::Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01182,73,Glutamate family,Amino acid biosynthesis,Amino acid biosynthesis::Glutamate family
